2026-01-24 01:39:39,991 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.01% | held_candles=27
2026-01-24 01:40:40,093 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.02% | held_candles=28
2026-01-24 01:41:40,218 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.02% | held_candles=28
2026-01-24 01:42:40,381 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.02% | held_candles=28
2026-01-24 01:43:40,539 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.02% | held_candles=28
2026-01-24 01:44:40,715 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.02% | held_candles=28
2026-01-24 01:45:40,846 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.13% | held_candles=29
2026-01-24 01:46:40,994 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.13% | held_candles=29
2026-01-24 01:47:41,115 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.13% | held_candles=29
2026-01-24 01:48:41,277 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.13% | held_candles=29
2026-01-24 01:49:41,442 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.13% | held_candles=29
2026-01-24 01:50:41,491 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.1% | held_candles=30
2026-01-24 01:51:41,645 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.1% | held_candles=30
2026-01-24 01:52:41,788 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.1% | held_candles=30
2026-01-24 01:53:41,948 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.1% | held_candles=30
2026-01-24 01:54:42,104 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.1% | held_candles=30
2026-01-24 01:55:42,196 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.13% | held_candles=31
2026-01-24 01:56:42,358 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.13% | held_candles=31
2026-01-24 01:57:42,459 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.13% | held_candles=31
2026-01-24 01:58:42,649 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.13% | held_candles=31
2026-01-24 01:59:42,814 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.13% | held_candles=31
2026-01-24 02:00:42,949 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.16% | held_candles=32
2026-01-24 02:01:43,073 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.16% | held_candles=32
2026-01-24 02:02:43,187 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.16% | held_candles=32
2026-01-24 02:03:43,319 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.16% | held_candles=32
2026-01-24 02:04:43,506 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.16% | held_candles=32
2026-01-24 02:05:43,686 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.17% | held_candles=33
2026-01-24 02:06:43,832 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.17% | held_candles=33
2026-01-24 02:07:43,999 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.17% | held_candles=33
2026-01-24 02:08:44,186 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.17% | held_candles=33
2026-01-24 02:09:44,291 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.17% | held_candles=33
2026-01-24 02:10:44,465 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.21% | held_candles=34
2026-01-24 02:11:44,635 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.21% | held_candles=34
2026-01-24 02:12:44,803 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.21% | held_candles=34
2026-01-24 02:13:44,965 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.21% | held_candles=34
2026-01-24 02:14:45,114 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.21% | held_candles=34
2026-01-24 02:15:45,224 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.2% | held_candles=35
2026-01-24 02:16:45,407 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.2% | held_candles=35
2026-01-24 02:17:45,529 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.2% | held_candles=35
2026-01-24 02:18:45,659 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.2% | held_candles=35
2026-01-24 02:19:45,798 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.2% | held_candles=35
2026-01-24 02:20:45,881 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.22% | held_candles=36
2026-01-24 02:21:46,028 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.22% | held_candles=36
2026-01-24 02:22:46,179 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.22% | held_candles=36
2026-01-24 02:23:46,316 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.22% | held_candles=36
2026-01-24 02:24:46,452 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.22% | held_candles=36
2026-01-24 02:25:46,632 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.19% | held_candles=37
2026-01-24 02:26:46,776 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.19% | held_candles=37
2026-01-24 02:27:46,969 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.19% | held_candles=37
2026-01-24 02:28:47,156 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.19% | held_candles=37
2026-01-24 02:29:47,346 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.19% | held_candles=37
2026-01-24 02:30:47,475 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.13% | held_candles=38
2026-01-24 02:31:47,656 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.13% | held_candles=38
2026-01-24 02:32:47,854 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.13% | held_candles=38
2026-01-24 02:33:48,031 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.13% | held_candles=38
2026-01-24 02:34:48,208 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.13% | held_candles=38
2026-01-24 02:35:48,359 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.21% | held_candles=39
2026-01-24 02:36:48,547 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.21% | held_candles=39
2026-01-24 02:37:48,754 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.21% | held_candles=39
2026-01-24 02:38:48,884 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.21% | held_candles=39
2026-01-24 02:39:49,056 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.21% | held_candles=39
2026-01-24 02:40:08,272 | INFO | CLOSE LONG RESPONSE -> {'client_oid': '1769222407704', 'order_id': '709770223577727516'}
