time,symbol,tf,side,size,entry,exit,pnl_pct,open_order_id,close_order_id,reason,strat_id
2026-01-29 00:15:14.655357+00:00,cmt_dogeusdt,5m,LONG,7600.0,0.12456,,,711545694241948188,,OPEN,1
2026-01-29 00:44:06.903653+00:00,cmt_dogeusdt,5m,LONG,7600.0,0.12456,0.12417,-0.3131,711545694241948188,711552962396160540,HARD_STOP,
2026-01-29 01:25:10.500584+00:00,cmt_dogeusdt,5m,LONG,7600.0,0.12405,,,711563293067575836,,OPEN,1
2026-01-29 01:26:07.583717+00:00,cmt_dogeusdt,5m,LONG,7600.0,0.12405,0.12357,-0.3869,711563293067575836,711563534634320412,HARD_STOP,
2026-01-29 05:56:08.996367+00:00,cmt_solusdt,5m,LONG,7.6,123.16,,,711631486175937052,,OPEN,0
2026-01-29 07:19:02.376096+00:00,cmt_solusdt,5m,LONG,7.6,123.16,123.64,0.3897,711631486175937052,711652348497232412,SCORE,
2026-01-29 08:01:08.895129+00:00,cmt_dogeusdt,5m,LONG,7700.0,0.12179,,,711662943082643996,,OPEN,1
2026-01-29 10:01:02.333717+00:00,cmt_dogeusdt,5m,LONG,7700.0,0.12179,0.12142,-0.3038,711662943082643996,711693116775596572,HARD_STOP,
2026-01-29 12:40:10.423839+00:00,cmt_dogeusdt,5m,LONG,7800.0,0.12035,,,711733140489503260,,OPEN,1
2026-01-29 12:59:07.643657+00:00,cmt_dogeusdt,5m,LONG,7800.0,0.12035,0.12075,0.3324,711733140489503260,711737934423786012,SCORE,
2026-01-29 14:27:17.215877+00:00,cmt_dogeusdt,5m,LONG,7800.0,0.12061,,,711760096148849180,,OPEN,1
2026-01-29 14:34:07.199243+00:00,cmt_dogeusdt,5m,LONG,7800.0,0.12061,0.12004,-0.4726,711760096148849180,711761839725216284,HARD_STOP,
2026-01-29 14:37:12.094570+00:00,cmt_solusdt,5m,LONG,7.7,121.44,,,711762591151555100,,OPEN,1
2026-01-29 14:53:01.953283+00:00,cmt_solusdt,5m,LONG,7.7,121.44,121.02,-0.3458,711762591151555100,711766599262011932,HARD_STOP,
2026-01-29 14:55:10.360116+00:00,cmt_dogeusdt,5m,LONG,7800.0,0.11925,,,711767113383019036,,OPEN,1
2026-01-29 14:59:12.711311+00:00,cmt_dogeusdt,5m,LONG,7800.0,0.11925,0.1187,-0.4612,711767113383019036,711768132645028380,HARD_STOP,
2026-01-29 15:09:04.171856+00:00,cmt_dogeusdt,5m,LONG,7900.0,0.11731,,,711770632991277596,,OPEN,1
